accountsservice 23.13.9-2
amd-ucode 20251021-1
base 3-2
base-devel 1-2
btrfs-progs 6.17-1
clang 21.1.4-2
cli11 2.6.0-1
cliphist 1:0.7.0-1
cmake 4.1.2-1
dgop-bin 0.1.7-1
dgop-bin-debug 0.1.7-1
dms-shell-bin 0.2.2-1
dms-shell-bin-debug 0.2.2-1
dolphin 25.08.2-1
dunst 1.13.0-1
efibootmgr 18-3
fastfetch 2.54.0-1
fish 4.1.2-1
gemini-cli 1:0.10.0-1
git 2.51.1-2
google-breakpad v2024.02.16-2
grim 1.5.0-2
gst-plugin-pipewire 1:1.4.9-1
htop 3.4.1-1
hyprland 0.51.1-6
hyprpicker 0.4.5-7
intel-media-driver 25.3.4-1
inter-font 4.1-1
iwd 3.10-1
jemalloc 1:5.3.0-5
jq 1.8.1-1
kdeconnect 25.08.2-2
kitty 0.43.1-1
libpulse 17.0+r88+geee0e8f22-1
libva-intel-driver 2.4.1-5
limine 10.1.1-1
linux 6.17.5.arch1-1
linux-firmware 20251021-1
lvm2 2.03.35-1
mate-polkit 1.28.1-2
matugen-bin 2.4.1-1
matugen-bin-debug 2.4.1-1
nano 8.6-1
ncspot 1.3.1-2
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
ninja 1.13.1-2
paru 2.1.0-1
paru-debug 2.1.0-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
playerctl 2.4.1-4
polkit-kde-agent 6.5.0-1
qt5-wayland 5.15.17+kde+r57-1
qt5ct 1.9-1
qt6-wayland 6.10.0-1
qt6ct-kde 0.11-2
quickshell 0.2.1-1
sddm 0.21.0-6
slurp 1.5.0-1
smartmontools 7.5-1
snapper 0.13.0-2
stow 2.4.1-1
tmux 3.5_a-1
ttf-fira-code 6.2-2
ttf-material-icons-git 4.0.0.r142.gbb04090f-1
ttf-material-symbols-variable-git 4.0.0.r142.gbb04090f-1
uwsm 0.24.1-1
vim 9.1.1841-1
vulkan-intel 1:25.2.5-2
vulkan-nouveau 1:25.2.5-2
vulkan-radeon 1:25.2.5-2
wget 1.25.0-2
wireless_tools 30.pre9-4
wireplumber 0.5.12-1
wl-clipboard 1:2.2.1-3
woff2-material-symbols-variable-git 4.0.0.r142.gbb04090f-1
wofi 1.5.1-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-1
xdg-utils 1.2.1-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.18-2
xorg-xinit 1.4.4-1
zen-browser-bin 1.17.2b-1
zram-generator 1.2.1-1
